country,country_code,region,income_group,year,WBL INDEX,can_choose_residence,can_travel_domestic,can_apply_passport,can_travel_abroad,get_job,no_gender_discrimination_employment,sexual_harassment_legislation,sexual_harassment_penalties,no_gender_discrimination_credit,can_sign_contract,can_register_business,can_open_bank_account
Bangladesh,BGD,South Asia,Lower middle income,2021,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2022,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2023,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2024,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2015,70.6,1,1,0,1,1,0,0,0,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2016,70.6,1,1,0,1,1,0,0,0,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2017,70.6,1,1,0,1,1,0,0,0,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2018,70.6,1,1,0,1,1,0,0,0,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2019,76.9,1,1,0,1,1,0,1,1,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2020,76.9,1,1,0,1,1,0,1,1,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2021,80.0,1,1,0,1,1,1,1,1,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2022,80.0,1,1,0,1,1,1,1,1,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2023,80.0,1,1,0,1,1,1,1,1,0,1,1,1
Barbados,BRB,Latin America & Caribbean,High income,2024,80.0,1,1,0,1,1,1,1,1,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2015,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2016,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2017,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2018,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2019,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2020,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2021,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2022,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2023,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belarus,BLR,Europe & Central Asia,Upper middle income,2024,75.6,1,1,1,1,1,1,0,0,0,1,1,1
Belgium,BEL,High income: OECD,High income,2015,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2016,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2017,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2018,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2019,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2020,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2021,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2022,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2023,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,BEL,High income: OECD,High income,2024,100.0,1,1,1,1,1,1,1,1,1,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2015,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2016,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2017,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2018,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2019,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2020,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2021,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2022,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2023,79.4,1,1,0,1,1,0,1,1,0,1,1,1
Belize,BLZ,Latin America & Caribbean,Upper middle income,2024,82.5,1,1,1,1,1,0,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2015,74.4,0,1,0,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2016,74.4,0,1,0,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2017,74.4,0,1,0,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2018,74.4,0,1,0,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2019,74.4,0,1,0,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2020,74.4,0,1,0,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2021,77.5,0,1,1,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,80.6,0,1,1,1,1,1,1,1,0,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2023,83.8,0,1,1,1,1,1,1,1,1,1,1,1
Benin,BEN,Sub-Saharan Africa,Lower middle income,2024,83.8,0,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2015,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2016,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2017,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2018,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2019,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2020,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2021,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2022,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2023,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,BTN,South Asia,Lower middle income,2024,75.0,1,1,1,1,1,1,1,1,0,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2015,76.9,1,1,1,1,0,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2016,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2017,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2018,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2019,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2020,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2021,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2023,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2024,88.8,1,1,1,1,1,0,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2015,81.9,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2016,81.9,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2017,88.1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2018,88.1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2019,85.0,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2020,85.0,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2021,85.0,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2022,85.0,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2023,85.0,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2024,85.0,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2015,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2016,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2017,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2018,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2019,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2020,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2021,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2023,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2024,63.8,1,1,0,1,1,0,0,0,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2015,81.9,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2016,81.9,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2017,81.9,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2018,81.9,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2019,81.9,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2020,81.9,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2021,85.0,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,85.0,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2023,85.0,1,1,1,1,1,1,1,1,0,1,1,1
Brazil,BRA,Latin America & Caribbean,Upper middle income,2024,85.0,1,1,1,1,1,1,1,1,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2015,53.1,0,0,1,1,1,0,0,0,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2016,53.1,0,0,1,1,1,0,0,0,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2017,53.1,0,0,1,1,1,0,0,0,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2018,53.1,0,0,1,1,1,0,0,0,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2019,53.1,0,0,1,1,1,0,0,0,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2020,53.1,0,0,1,1,1,0,0,0,0,1,1,1
Brunei Darussalam,BRN,East Asia & Pacific,High income,2021,53.1,0,0,1,1,1,0,0,0,0,1,1,1
