"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Burundi","BDI","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3463774848952","","","","","","","","7.90186023712158","","","13.8205499649048","","","","","","","","",
"Belgium","BEL","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","94.2242813110352","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","","91.3976135253906","91.3222678883196","91.7385711669922","92.1010284423828","91.4206466674805","91.8553237915039","91.1740036010742","91.9264602661133","92.9041213989258","94.274658203125","95.0032577514648","95.3366317749023","95.8763966705562","96.3382873535156","96.0909626460247","95.9960391777872","95.5262887140403","95.4962928315798","","",
"Benin","BEN","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0337439742903","","","","13.2386598587036","","14.7077503204346","","17.0132007598877","15.6786499023438","","","",
"Burkina Faso","BFA","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4342999458313","","","","","","","","13.1755593488649","","","","11.3417997360229","12.3691701889038","","16.136360168457","18.5054580384789","14.5982427754417","16.8378642170797","",
"Bangladesh","BGD","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5085182189941","","","","","44.2318871162881","","","","44.9353849181411","42.9780616760254","44.3074798583984","42.379638671875","44.2824783325195","50.285831451416","51.6476783752441","53.1116218566895","54.4736213684082","57.3168601989746","58.943359375","57.0724296569824","52.0311889648438","","","",
"Bulgaria","BGR","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","24.7572402954102","","","","","","","","","","","","","","","","","78.9836502075195","","","","","","","","100","96.1331481933594","100","100","100","100","97.6450114538834","97.9961641446384","98.0221331503946","98.433546693139","98.5269802798289","98.6516997034063","98.7511298922571","98.8235179210352","98.5241435365954","98.7044628282828","98.5682380545001","98.9735902113574","99.0522930386763","98.8309662179181","99.0150376537866","98.1021423339844","98.977634644228","99.1993836543502","","",
"Bahrain","BHR","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","10.1656799316406","","","","","","","","","","","","","","","","","","","","35.7000007629395","","","","","","","","","","66.2770767211914","","","","","","","","","63.8701705932617","","","","","","71.9618072509766","73.5513076782227","83.0292129516602","","87.3726425170898","","84.4651184082031","92.0171966552734","91.7445068359375","",
"Bahamas, The","BHS","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.764289855957","","","","","","","","","","95.2796020507812","","","","","","","","","96.6646499633789","","","98.7270736694336","99.5915459760638","","",
"Bosnia and Herzegovina","BIH","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.8578921492199","59.85492119722","63.2518882751465","65.3299331665039","66.2784527875337","67.6898869277247","69.4868316650391","71.7043380737305","76.0466384887695","74.3090418646619","82.0196762084961","75.1183438505186","86.9853134155273","85.3158625457028","92.6043014526367","86.7958685527096","","",
"Belarus","BLR","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.6236114501953","","","","","","","99.878403044835","99.941388630528","99.9060238302304","99.7609024047852","99.8921633771662","99.8873722235291","99.9230107321148","99.8992544562984","","",
